ecg,ppg
0.11353,-0.37842
0.11353,-0.26123
0.10864,-0.16113
0.08057,-0.0647
0.05981,0.03784
0.04028,0.14038
0.02808,0.23071
0.02197,0.30396
0.01831,0.40161
0.01099,0.47485
0.00854,0.53955
-0.01587,0.59814
-0.03052,0.64819
-0.04028,0.66284
-0.04761,0.70679
-0.05859,0.72754
-0.07202,0.72266
-0.07568,0.7312
-0.07446,0.7312
-0.07813,0.71899
-0.07935,0.71045
-0.07813,0.69336
-0.07568,0.68237
-0.06958,0.65063
-0.06836,0.62256
-0.0647,0.5896
-0.06836,0.58105
-0.05249,0.55542
-0.03296,0.51392
-0.02686,0.49072
-0.03052,0.46265
-0.0415,0.44922
-0.05981,0.42725
-0.0647,0.40527
-0.07324,0.38086
-0.05371,0.35767
-0.04028,0.35278
-0.01709,0.32837
-0.02075,0.31372
-0.03418,0.29053
-0.04272,0.29785
-0.0415,0.26489
-0.04272,0.2478
-0.03052,0.24414
-0.03174,0.20508
-0.03418,0.18555
-0.03784,0.1709
-0.04639,0.14893
-0.03296,0.14282
-0.03906,0.14038
-0.04272,0.1062
-0.05859,0.11108
-0.05127,0.08911
-0.0354,0.08911
-0.0354,0.06104
-0.03418,0.07568
-0.04395,0.04639
-0.04028,0.05737
-0.03296,0.05127
-0.03052,0.0354
-0.02563,0.05249
-0.03662,0.02563
-0.04639,0.04028
-0.0415,0.03906
-0.03784,0.01587
-0.03784,0.03052
-0.04883,0.02808
-0.05127,0.00244
-0.04272,0
-0.03784,0.0061
-0.03174,0.0061
-0.03296,-0.01465
-0.03052,-0.03052
-0.01099,-0.04639
0.0061,-0.05493
0.02319,-0.05249
0.0354,-0.06958
0.04517,-0.1001
0.05493,-0.09399
0.0415,-0.12207
0.03052,-0.14404
0,-0.15137
-0.01953,-0.16724
-0.02808,-0.18188
-0.03784,-0.2002
-0.0293,-0.24292
-0.0293,-0.26245
-0.0354,-0.26978
-0.04883,-0.28931
-0.05615,-0.30273
-0.04517,-0.31982
-0.03662,-0.34302
-0.02808,-0.354
-0.01709,-0.37598
-0.02808,-0.41382
-0.0293,-0.41138
-0.02441,-0.44067
0.01221,-0.44922
0.06104,-0.46265
0.11353,-0.50659
0.17334,-0.50049
0.20508,-0.53833
0.19165,-0.5542
0.1123,-0.56274
-0.01709,-0.57861
-0.09888,-0.59448
-0.14404,-0.61401
-0.13672,-0.6189
-0.10376,-0.62744
-0.06592,-0.63477
-0.00732,-0.66162
0.01465,-0.67749
0.01099,-0.67505
0.00122,-0.7019
-0.0061,-0.71655
0.00244,-0.70679
0,-0.71899
0.00122,-0.74097
0.00488,-0.73486
0.01709,-0.77148
0.02563,-0.77881
0.03052,-0.78979
0.0354,-0.79712
0.05493,-0.78369
0.05127,-0.81421
0.05737,-0.80078
0.05493,-0.81055
0.05981,-0.82397
0.0647,-0.83496
0.07324,-0.85693
0.08545,-0.8374
0.09521,-0.85327
0.08545,-0.88013
0.07935,-0.8667
0.06836,-0.8667
0.09155,-0.86792
0.11841,-0.89355
0.12695,-0.87646
0.13672,-0.88501
0.13062,-0.86182
0.13916,-0.84595
0.13672,-0.80444
0.15259,-0.74829
0.16968,-0.69214
0.15381,-0.62012
0.14893,-0.55908
0.13062,-0.48218
0.12085,-0.36865
0.10986,-0.28931
0.09277,-0.18311
0.07446,-0.09521
0.06348,0.02441
0.06348,0.10742
0.06836,0.21484
0.05127,0.28687
0.0354,0.37476
0.00977,0.43701
-0.00854,0.52002
-0.01465,0.56763
-0.02441,0.62256
-0.0293,0.65186
-0.0293,0.6665
-0.02441,0.69946
-0.01953,0.6958
-0.02686,0.6958
-0.04395,0.70923
-0.06714,0.68726
-0.07446,0.67505
-0.0708,0.67993
-0.06592,0.65796
-0.0647,0.62744
-0.05859,0.61279
-0.04272,0.58594
-0.0354,0.54688
-0.03418,0.5249
-0.02686,0.48462
-0.02319,0.46631
-0.01343,0.44922
-0.01831,0.42725
-0.04272,0.40649
-0.04395,0.38452
-0.04761,0.36011
-0.04517,0.33691
-0.04028,0.31494
-0.05371,0.29175
-0.04395,0.2771
-0.03906,0.26001
-0.0415,0.25024
-0.0293,0.24536
-0.03296,0.22217
-0.02441,0.19287
-0.04028,0.19409
-0.05249,0.16724
-0.04639,0.14648
-0.03662,0.14526
-0.02441,0.13916
-0.04883,0.12695
-0.05249,0.11719
-0.05371,0.09644
-0.04272,0.08057
-0.02686,0.08179
-0.02197,0.09277
-0.0293,0.08301
-0.02319,0.0647
-0.03296,0.06226
-0.03662,0.07202
-0.04517,0.08179
-0.04395,0.08179
-0.04395,0.07324
-0.04272,0.06226
-0.04272,0.05615
-0.03296,0.0647
-0.03662,0.07568
-0.02563,0.05493
-0.02563,0.05249
-0.01221,0.05249
-0.02197,0.05249
-0.02563,0.02808
-0.0354,0.01953
-0.03174,0.01343
-0.01953,0.02197
0.01099,0.00732
0.02686,-0.00732
0.02441,-0.01953
0.00366,-0.03296
-0.00854,-0.04272
0.0061,-0.07935
0.02441,-0.09399
0.0354,-0.10376
0.0061,-0.12817
-0.00366,-0.14404
-0.00244,-0.14404
-0.00244,-0.17334
-0.02808,-0.20386
-0.05493,-0.21729
-0.06958,-0.21851
-0.05981,-0.26245
-0.04761,-0.26001
-0.04272,-0.30029
-0.05005,-0.30396
-0.05615,-0.32349
-0.05615,-0.34546
-0.05005,-0.35889
-0.03418,-0.37231
-0.01587,-0.4126
0.01587,-0.43091
0.05127,-0.44678
0.11353,-0.46265
0.17822,-0.47607
0.19897,-0.47485
0.16724,-0.5127
0.09521,-0.52368
-0.00732,-0.52368
-0.08545,-0.55664
-0.14526,-0.55908
-0.15869,-0.58716
-0.13916,-0.58594
-0.09644,-0.60425
-0.06226,-0.60181
-0.03906,-0.63965
-0.0354,-0.64575
-0.04028,-0.65552
-0.0354,-0.64941
-0.02197,-0.68848
-0.0061,-0.68481
0.01221,-0.6958
0.00366,-0.71777
0.00854,-0.72021
0.0061,-0.71899
0.01221,-0.72632
0.01343,-0.75684
0.00977,-0.76782
-0.00122,-0.77148
0.00732,-0.76538
0.02319,-0.77881
0.04395,-0.77393
0.04272,-0.79834
0.0354,-0.80078
0.02808,-0.79102
0.0415,-0.80444
0.06104,-0.80811
0.06836,-0.81177
0.0769,-0.81787
0.07935,-0.84595
0.09521,-0.84961
0.1001,-0.8374
0.09277,-0.81909
0.08301,-0.82886
0.08301,-0.78979
0.10254,-0.77393
0.10376,-0.73242
0.09033,-0.66406
0.08301,-0.61646
0.09033,-0.53955
0.09644,-0.46265
0.1001,-0.36621
0.08545,-0.28809
0.07324,-0.18433
0.05005,-0.06958
0.03662,0.02075
0.03418,0.10498
0.01709,0.21851
-0.00732,0.29785
-0.02686,0.3772
-0.03662,0.46509
-0.0354,0.52612
-0.0415,0.57983
-0.04639,0.6311
-0.05127,0.66772
-0.06348,0.69092
-0.06836,0.71167
-0.07324,0.72388
-0.08057,0.72754
-0.07813,0.73242
-0.08789,0.73364
-0.08057,0.73242
-0.0708,0.72021
-0.05249,0.70068
-0.03906,0.67627
-0.04639,0.65186
-0.05859,0.63599
-0.0708,0.61523
-0.07324,0.57251
-0.0769,0.56763
-0.07568,0.52734
-0.06714,0.50171
-0.0647,0.48828
