Row, Timestamp, Series 1, Series 2, Series 3, Series 4, Series 5, Series 6
0   , 0.352, 0      , -3     , 1      , 56     , , 
1   , 0.552, 0      , 0      , 1      , 55     , , 
2   , 0.752, 0      , 0      , 1      , 54     , , 
3   , 0.952, 0      , -1     , 1      , 53     , , 
4   , 1.152, 0      , 0      , 0      , 53     , , 
5   , 1.352, 0      , -1     , 1      , 53     , , 
6   , 1.552, 0      , -1     , 0      , 53     , , 
7   , 1.752, 0      , -1     , 1      , 51     , , 
8   , 1.952, 0      , -1     , 1      , 52     , , 
9   , 2.152, 0      , -1     , 1      , 37     , , 
10  , 2.280, 30     , -30    , 0      , -1     , 1      , 37     
11  , 2.352, 0      , -1     , 0      , 37     , , 
12  , 2.380, 30     , -30    , 0      , -1     , 0      , 55     
13  , 2.480, 30     , -30    , 0      , -1     , 0      , 55     
14  , 2.552, 0      , -1     , 0      , 55     , , 
15  , 2.580, 30     , -30    , 0      , -1     , 0      , 55     
16  , 2.680, 30     , -30    , 0      , -1     , 1      , 55     
17  , 2.752, 0      , -1     , 0      , 55     , , 
18  , 2.780, 30     , -30    , 0      , -1     , 1      , 55     
19  , 2.880, 30     , -30    , 0      , -1     , 0      , 38     
20  , 2.952, 0      , -1     , 0      , 38     , , 
21  , 2.980, 30     , -30    , 0      , -1     , 0      , 38     
22  , 3.080, 30     , -30    , 0      , -1     , 1      , 38     
23  , 3.152, 0      , -1     , 1      , 38     , , 
24  , 3.182, 30     , -30    , 0      , -1     , 0      , 38     
25  , 3.280, 30     , -30    , 0      , -1     , 0      , 38     
26  , 3.356, 0      , -1     , 0      , 38     , , 
27  , 3.380, 30     , -30    , 0      , -1     , 1      , 38     
28  , 3.480, 30     , -30    , 0      , -1     , 0      , 51     
29  , 3.556, 0      , -1     , 0      , 51     , , 
30  , 3.580, 30     , -30    , 0      , -1     , 1      , 51     
31  , 3.680, 30     , -30    , 0      , -1     , 1      , 54     
32  , 3.756, 0      , -1     , 1      , 52     , , 
33  , 3.780, 30     , -30    , 0      , -1     , 0      , 52     
34  , 3.880, 30     , -30    , 0      , -1     , 0      , 68     
35  , 3.956, 0      , -1     , 1      , 68     , , 
36  , 3.980, 30     , -30    , 0      , -1     , 0      , 68     
37  , 4.073, 30     , -30    , 0      , -1     , 1      , 68     
38  , 4.156, 0      , -1     , 1      , 66     , , 
39  , 4.180, 30     , -30    , 0      , -1     , 0      , 66     
40  , 4.280, 30     , -30    , 0      , -1     , 0      , 66     
41  , 4.358, 0      , -1     , 1      , 67     , , 
42  , 4.380, 30     , -30    , 0      , -1     , 1      , 67     
43  , 4.480, 30     , -30    , 0      , -1     , 1      , 69     
44  , 4.558, 0      , -1     , 1      , 51     , , 
45  , 4.573, 30     , -30    , 0      , -1     , 1      , 51     
46  , 4.680, 30     , -30    , 0      , -1     , 1      , 54     
47  , 4.758, 0      , -1     , 1      , 54     , , 
48  , 4.780, 30     , -30    , 0      , -1     , 0      , 54     
49  , 4.880, 30     , -30    , 0      , -1     , 1      , 56     
50  , 4.958, 0      , -1     , 1      , 39     , , 
51  , 4.980, 30     , -30    , 0      , -1     , 1      , 71     
52  , 5.080, 30     , -30    , 0      , -1     , 0      , 39     
53  , 5.158, 0      , -1     , 1      , 68     , , 
54  , 5.180, 30     , -30    , 0      , -1     , 1      , 68     
55  , 5.280, 30     , -30    , 0      , -2     , 1      , 38     
56  , 5.358, 0      , -2     , 0      , 38     , , 
57  , 5.380, 30     , -30    , 0      , -2     , 1      , 38     
58  , 5.480, 30     , -30    , 0      , -3     , 1      , 38     
59  , 5.558, 0      , -4     , 1      , 37     , , 
60  , 5.581, 30     , -30    , 0      , -4     , 0      , 38     
61  , 5.680, 30     , -30    , 0      , -3     , 0      , 38     
62  , 5.758, 0      , -4     , 1      , 38     , , 
63  , 5.780, 30     , -30    , 0      , -4     , 1      , 38     
64  , 5.880, 30     , -30    , 0      , -4     , 0      , 71     
65  , 5.958, 0      , -4     , 1      , 71     , , 
66  , 5.980, 30     , -30    , 0      , -5     , 0      , 71     
67  , 6.080, 30     , -30    , 0      , -13    , 1      , 51     
68  , 6.158, 0      , -25    , 1      , 32     , , 
69  , 6.180, 30     , -30    , 0      , -28    , 0      , 32     
70  , 6.280, 30     , -30    , 0      , -37    , 1      , 35     
71  , 6.358, 0      , -44    , 1      , 32     , , 
72  , 6.380, 30     , -30    , 0      , -45    , 1      , 32     
73  , 6.480, 30     , -30    , 0      , -51    , 1      , 32     
74  , 6.558, 0      , -57    , 1      , 34     , , 
75  , 6.580, 30     , -30    , 0      , -58    , 0      , 37     
76  , 6.673, 30     , -30    , 0      , -62    , 0      , 32     
77  , 6.758, 0      , -64    , 0      , 32     , , 
78  , 6.780, 30     , -30    , 0      , -64    , 0      , 32     
79  , 6.880, 30     , -30    , 0      , -58    , 0      , 27     
80  , 6.958, 0      , -42    , 0      , 32     , , 
81  , 6.980, 30     , -30    , 0      , -38    , 1      , 32     
82  , 7.080, 30     , -30    , 0      , -18    , 1      , 40     
83  , 7.158, 0      , -7     , 0      , 40     , , 
84  , 7.180, 30     , -30    , 0      , -5     , 0      , 40     
85  , 7.280, 30     , -30    , 0      , 4      , 0      , 50     
86  , 7.358, 0      , 8      , 0      , 51     , , 
87  , 7.380, 30     , -30    , 0      , 8      , 0      , 51     
88  , 7.480, 30     , -30    , 0      , -3     , 1      , 55     
89  , 7.558, 0      , -23    , 1      , 52     , , 
90  , 7.580, 30     , -30    , 0      , -27    , 0      , 52     
91  , 7.680, 30     , -30    , 0      , -39    , 1      , 52     
92  , 7.758, 0      , -49    , 0      , 32     , , 
93  , 7.780, 30     , -30    , 0      , -49    , 1      , 32     
94  , 7.880, 30     , -30    , 0      , -34    , 0      , 32     
95  , 7.958, 0      , -11    , 1      , 34     , , 
96  , 7.980, 30     , -30    , 0      , -9     , 0      , 34     
97  , 8.080, 30     , -30    , 0      , -3     , 0      , 32     
98  , 8.158, 0      , -5     , 1      , 32     , , 
99  , 8.180, 30     , -30    , 0      , -5     , 1      , 32     
100 , 8.280, 30     , -30    , 0      , 0      , 1      , 51     
101 , 8.358, 0      , 5      , 0      , 52     , , 
102 , 8.380, 30     , -30    , 0      , 6      , 0      , 51     
103 , 8.480, 30     , -30    , 0      , 11     , 0      , 51     
104 , 8.558, 0      , 16     , 0      , 49     , , 
105 , 8.580, 30     , -30    , 0      , 17     , 0      , 33     
106 , 8.680, 30     , -30    , 0      , 27     , 0      , 32     
107 , 8.758, 0      , 34     , 0      , 32     , , 
108 , 8.780, 30     , -30    , 0      , 35     , 0      , 34     
109 , 8.880, 30     , -30    , 0      , 39     , 0      , 32     
110 , 8.958, 0      , 37     , 0      , 32     , , 
111 , 8.980, 30     , -30    , 0      , 36     , 0      , 32     
112 , 9.080, 30     , -30    , 0      , 38     , 0      , 32     
113 , 9.158, 0      , 38     , 0      , 39     , , 
114 , 9.180, 30     , -30    , 0      , 39     , 0      , 39     
115 , 9.280, 30     , -30    , 0      , 31     , 0      , 56     
116 , 9.358, 0      , 17     , 0      , 49     , , 
117 , 9.380, 30     , -30    , 0      , 14     , 0      , 51     
118 , 9.480, 30     , -30    , 0      , -4     , 0      , 57     
119 , 9.558, 0      , -13    , 0      , 57     , , 
120 , 9.581, 30     , -30    , 0      , -18    , 0      , 130    
121 , 9.680, 30     , -30    , 0      , -27    , 0      , 130    
122 , 9.758, 0      , -31    , 0      , 132    , , 
123 , 9.780, 30     , -30    , 0      , -33    , 0      , 136    
124 , 9.880, 30     , -30    , 0      , -36    , 0      , 132    
125 , 9.958, 0      , -39    , 0      , 164    , , 
126 , 9.980, 30     , -30    , 0      , -39    , 0      , 164    
127 , 10.080, 30     , -30    , 0      , -41    , 0      , 162    
128 , 10.158, 0      , -41    , 0      , 162    , , 
129 , 10.174, 30     , -30    , 0      , -41    , 0      , 163    
130 , 10.280, 30     , -30    , 0      , -42    , 0      , 146    
